[2024-01-24 22:34:02,893 INFO safe.railway.user.User_01_Login_Logout] - TC13 - Step 12: Verify arrive station infor
[2024-01-24 22:34:02,963 INFO safe.railway.user.User_01_Login_Logout] - -------------------PASSED-------------------
[2024-01-24 22:34:02,963 INFO safe.railway.user.User_01_Login_Logout] - TC13 - Step 13: Verify seat type infor
[2024-01-24 22:34:03,035 INFO safe.railway.user.User_01_Login_Logout] - -------------------PASSED-------------------
[2024-01-24 22:34:03,035 INFO safe.railway.user.User_01_Login_Logout] - TC13 - Step 14: Get depart date infor
[2024-01-24 22:34:03,095 INFO safe.railway.user.User_01_Login_Logout] - -------------------PASSED-------------------
[2024-01-24 22:34:03,095 INFO safe.railway.user.User_01_Login_Logout] - TC13 - Step 15: Get ammount infor
[2024-01-24 22:34:03,160 INFO safe.railway.user.User_01_Login_Logout] - -------------------PASSED-------------------
[2024-01-24 22:34:03,160 INFO safe.railway.user.User_01_Login_Logout] - TC13 - Step 16: Click to logout button
[2024-01-24 22:34:04,515 INFO safe.railway.user.User_01_Login_Logout] - TC14 - Step 00: Open home page
[2024-01-24 22:34:05,524 INFO safe.railway.user.User_01_Login_Logout] - TC14 - Step 01: Open login page
[2024-01-24 22:34:06,213 INFO safe.railway.user.User_01_Login_Logout] - TC14 - Step 02: Login page
[2024-01-24 22:34:07,881 INFO safe.railway.user.User_01_Login_Logout] - TC14 - Step 03: Open timetable
[2024-01-24 22:34:08,589 INFO safe.railway.user.User_01_Login_Logout] - TC14 - Step 04: Click on check price Da Nang - SG
[2024-01-24 22:34:09,444 INFO safe.railway.user.User_01_Login_Logout] - TC14 - Step 05: Verify page title
[2024-01-24 22:34:09,522 INFO safe.railway.user.User_01_Login_Logout] - -------------------PASSED-------------------
[2024-01-24 22:34:09,523 INFO safe.railway.user.User_01_Login_Logout] - TC14 - Step 06: Verify Sticket table title
[2024-01-24 22:34:09,589 INFO safe.railway.user.User_01_Login_Logout] - -------------------PASSED-------------------
[2024-01-24 22:34:09,589 INFO safe.railway.user.User_01_Login_Logout] - TC14 - Step 07: Verify HSP price
[2024-01-24 22:34:09,652 INFO safe.railway.user.User_01_Login_Logout] - -------------------PASSED-------------------
[2024-01-24 22:34:09,652 INFO safe.railway.user.User_01_Login_Logout] - TC14 - Step 08: Verify SS price
[2024-01-24 22:34:09,714 INFO safe.railway.user.User_01_Login_Logout] - -------------------PASSED-------------------
[2024-01-24 22:34:09,714 INFO safe.railway.user.User_01_Login_Logout] - TC14 - Step 09: Verify SSC price
[2024-01-24 22:34:09,793 INFO safe.railway.user.User_01_Login_Logout] - -------------------PASSED-------------------
[2024-01-24 22:34:09,793 INFO safe.railway.user.User_01_Login_Logout] - TC14 - Step 10: Verify HBP price
[2024-01-24 22:34:09,867 INFO safe.railway.user.User_01_Login_Logout] - -------------------PASSED-------------------
[2024-01-24 22:34:09,867 INFO safe.railway.user.User_01_Login_Logout] - TC14 - Step 11: Verify SB price
[2024-01-24 22:34:09,931 INFO safe.railway.user.User_01_Login_Logout] - -------------------PASSED-------------------
[2024-01-24 22:34:09,931 INFO safe.railway.user.User_01_Login_Logout] - TC14 - Step 12: Verify SBC price
[2024-01-24 22:34:09,987 INFO safe.railway.user.User_01_Login_Logout] - -------------------PASSED-------------------
[2024-01-24 22:34:09,987 INFO safe.railway.user.User_01_Login_Logout] - TC14 - Step 13: Click to logout button
[2024-01-24 22:34:11,367 INFO safe.railway.user.User_01_Login_Logout] - TC15 - Step 01: Open home page
[2024-01-24 22:34:12,390 INFO safe.railway.user.User_01_Login_Logout] - TC15 - Step 02: Open register page
[2024-01-24 22:34:13,056 INFO safe.railway.user.User_01_Login_Logout] - TC15 - Step 03: Create new account
[2024-01-24 22:34:16,143 INFO safe.railway.user.User_01_Login_Logout] - TC15 - Step 04: Open guerrilla mail page 
[2024-01-24 22:34:16,143 INFO safe.railway.user.User_01_Login_Logout] - TC15 - Step 05: Get guerrillamail link
[2024-01-24 22:34:17,641 INFO safe.railway.user.User_01_Login_Logout] - TC15 - Step 06: Open detail mail
