[2024-01-22 22:50:53,411 INFO safe.railway.user.User_01_Login_Logout] - Login Blank - Step 02: Enter password
[2024-01-22 22:50:53,487 INFO safe.railway.user.User_01_Login_Logout] - Login Blank - Step 03: Click login button
[2024-01-22 22:50:54,108 INFO safe.railway.user.User_01_Login_Logout] - Login Blank- Step 04: Verify error message displays
[2024-01-22 22:50:54,150 INFO safe.railway.user.User_01_Login_Logout] - -------------------PASSED-------------------
[2024-01-22 22:50:54,153 INFO safe.railway.user.User_01_Login_Logout] - Login invalid Password - Step 01: Login page
[2024-01-22 22:50:54,752 INFO safe.railway.user.User_01_Login_Logout] - Login invalid Password - Step 02: enter emailaddress
[2024-01-22 22:50:54,836 INFO safe.railway.user.User_01_Login_Logout] - Login invalid Password - Step 03: Enter password
[2024-01-22 22:50:54,924 INFO safe.railway.user.User_01_Login_Logout] - Login invalid Password - Step 04: Click login button
[2024-01-22 22:50:55,544 INFO safe.railway.user.User_01_Login_Logout] - Login invalid Password - Step 05: Verify error message
[2024-01-22 22:50:55,591 INFO safe.railway.user.User_01_Login_Logout] - -------------------PASSED-------------------
[2024-01-22 22:50:55,596 INFO safe.railway.user.User_01_Login_Logout] - TC04 - Step 01: Login page
[2024-01-22 22:50:56,166 INFO safe.railway.user.User_01_Login_Logout] - TC04 - Step 02: Enter valid infor 1 time
[2024-01-22 22:50:56,960 INFO safe.railway.user.User_01_Login_Logout] - TC04- Step 03: Verify error
[2024-01-22 22:50:57,013 INFO safe.railway.user.User_01_Login_Logout] - -------------------PASSED-------------------
[2024-01-22 22:50:57,013 INFO safe.railway.user.User_01_Login_Logout] - TC04 - Step 04: Enter valid infor many times
[2024-01-22 22:50:59,458 INFO safe.railway.user.User_01_Login_Logout] - TC04 - Step 05: Verify error
[2024-01-22 22:50:59,530 ERROR safe.railway.user.User_01_Login_Logout] - -------------------FAILED-------------------
[2024-01-22 22:53:50,637 INFO safe.railway.user.User_01_Login_Logout] - Login Success - Step 01: Open login page
[2024-01-22 22:53:51,253 INFO safe.railway.user.User_01_Login_Logout] - Login Success - Step 02: Login page
[2024-01-22 22:53:52,656 INFO safe.railway.user.User_01_Login_Logout] - Login Success - Step 03: Verify register success
[2024-01-22 22:53:52,713 ERROR safe.railway.user.User_01_Login_Logout] - -------------------FAILED-------------------
[2024-01-22 22:53:52,714 INFO safe.railway.user.User_01_Login_Logout] - Login Success - Step 04: Logout
[2024-01-22 22:53:53,952 INFO safe.railway.user.User_01_Login_Logout] - Login Blank - Step 01: Open login page
[2024-01-22 22:53:54,517 INFO safe.railway.user.User_01_Login_Logout] - Login Blank - Step 02: Enter password
[2024-01-22 22:53:54,590 INFO safe.railway.user.User_01_Login_Logout] - Login Blank - Step 03: Click login button
[2024-01-22 22:53:55,201 INFO safe.railway.user.User_01_Login_Logout] - Login Blank- Step 04: Verify error message displays
[2024-01-22 22:53:55,240 INFO safe.railway.user.User_01_Login_Logout] - -------------------PASSED-------------------
[2024-01-22 22:53:55,244 INFO safe.railway.user.User_01_Login_Logout] - Login invalid Password - Step 01: Login page
[2024-01-22 22:53:55,790 INFO safe.railway.user.User_01_Login_Logout] - Login invalid Password - Step 02: enter emailaddress
[2024-01-22 22:53:55,880 INFO safe.railway.user.User_01_Login_Logout] - Login invalid Password - Step 03: Enter password
[2024-01-22 22:53:55,958 INFO safe.railway.user.User_01_Login_Logout] - Login invalid Password - Step 04: Click login button
[2024-01-22 22:53:56,569 INFO safe.railway.user.User_01_Login_Logout] - Login invalid Password - Step 05: Verify error message
[2024-01-22 22:53:56,617 INFO safe.railway.user.User_01_Login_Logout] - -------------------PASSED-------------------
[2024-01-22 22:53:56,621 INFO safe.railway.user.User_01_Login_Logout] - TC04 - Step 01: Login page
[2024-01-22 22:53:57,178 INFO safe.railway.user.User_01_Login_Logout] - TC04 - Step 02: Enter valid infor 1 time
[2024-01-22 22:53:58,012 INFO safe.railway.user.User_01_Login_Logout] - TC04- Step 03: Verify error
[2024-01-22 22:53:58,057 INFO safe.railway.user.User_01_Login_Logout] - -------------------PASSED-------------------
[2024-01-22 22:53:58,057 INFO safe.railway.user.User_01_Login_Logout] - TC04 - Step 04: Enter valid infor many times
[2024-01-22 22:54:00,403 INFO safe.railway.user.User_01_Login_Logout] - TC04 - Step 05: Verify error
[2024-01-22 22:54:00,452 ERROR safe.railway.user.User_01_Login_Logout] - -------------------FAILED-------------------
[2024-01-22 23:02:41,689 INFO safe.railway.user.User_01_Login_Logout] - Login Success - Step 01: Open login page
[2024-01-22 23:02:42,319 INFO safe.railway.user.User_01_Login_Logout] - Login Success - Step 02: Login page
[2024-01-22 23:02:43,678 INFO safe.railway.user.User_01_Login_Logout] - Login Success - Step 03: Verify register success
[2024-01-22 23:02:43,730 ERROR safe.railway.user.User_01_Login_Logout] - -------------------FAILED-------------------
[2024-01-22 23:02:43,732 INFO safe.railway.user.User_01_Login_Logout] - Login Success - Step 04: Logout
[2024-01-22 23:02:44,842 INFO safe.railway.user.User_01_Login_Logout] - Login Blank - Step 01: Open login page
[2024-01-22 23:02:45,408 INFO safe.railway.user.User_01_Login_Logout] - Login Blank - Step 02: Enter password
[2024-01-22 23:02:45,482 INFO safe.railway.user.User_01_Login_Logout] - Login Blank - Step 03: Click login button
[2024-01-22 23:02:46,099 INFO safe.railway.user.User_01_Login_Logout] - Login Blank- Step 04: Verify error message displays
[2024-01-22 23:02:46,152 INFO safe.railway.user.User_01_Login_Logout] - -------------------PASSED-------------------
[2024-01-22 23:02:46,156 INFO safe.railway.user.User_01_Login_Logout] - Login invalid Password - Step 01: Login page
[2024-01-22 23:02:46,711 INFO safe.railway.user.User_01_Login_Logout] - Login invalid Password - Step 02: enter emailaddress
[2024-01-22 23:02:46,793 INFO safe.railway.user.User_01_Login_Logout] - Login invalid Password - Step 03: Enter password
[2024-01-22 23:02:46,862 INFO safe.railway.user.User_01_Login_Logout] - Login invalid Password - Step 04: Click login button
[2024-01-22 23:02:47,470 INFO safe.railway.user.User_01_Login_Logout] - Login invalid Password - Step 05: Verify error message
[2024-01-22 23:02:47,514 INFO safe.railway.user.User_01_Login_Logout] - -------------------PASSED-------------------
[2024-01-22 23:02:47,519 INFO safe.railway.user.User_01_Login_Logout] - TC04 - Step 01: Login page
[2024-01-22 23:02:48,089 INFO safe.railway.user.User_01_Login_Logout] - TC04 - Step 02: Enter valid infor 1 time
[2024-01-22 23:02:48,874 INFO safe.railway.user.User_01_Login_Logout] - TC04- Step 03: Verify error
[2024-01-22 23:02:48,937 INFO safe.railway.user.User_01_Login_Logout] - -------------------PASSED-------------------
[2024-01-22 23:02:48,937 INFO safe.railway.user.User_01_Login_Logout] - TC04 - Step 04: Enter valid infor many times
[2024-01-22 23:02:51,652 INFO safe.railway.user.User_01_Login_Logout] - TC04 - Step 05: Verify error
[2024-01-22 23:02:51,694 ERROR safe.railway.user.User_01_Login_Logout] - -------------------FAILED-------------------
[2024-01-22 23:06:12,129 INFO safe.railway.user.User_01_Login_Logout] - Login Success - Step 01: Open login page
[2024-01-22 23:06:12,802 INFO safe.railway.user.User_01_Login_Logout] - Login Success - Step 02: Login page
[2024-01-22 23:06:14,225 INFO safe.railway.user.User_01_Login_Logout] - Login Success - Step 03: Verify register success
[2024-01-22 23:06:14,287 INFO safe.railway.user.User_01_Login_Logout] - -------------------PASSED-------------------
[2024-01-22 23:06:14,287 INFO safe.railway.user.User_01_Login_Logout] - Login Success - Step 04: Logout
[2024-01-22 23:06:15,601 INFO safe.railway.user.User_01_Login_Logout] - Login Blank - Step 01: Open login page
[2024-01-22 23:06:16,200 INFO safe.railway.user.User_01_Login_Logout] - Login Blank - Step 02: Enter password
[2024-01-22 23:06:16,308 INFO safe.railway.user.User_01_Login_Logout] - Login Blank - Step 03: Click login button
[2024-01-22 23:06:16,925 INFO safe.railway.user.User_01_Login_Logout] - Login Blank- Step 04: Verify error message displays
[2024-01-22 23:06:16,992 INFO safe.railway.user.User_01_Login_Logout] - -------------------PASSED-------------------
[2024-01-22 23:06:17,004 INFO safe.railway.user.User_01_Login_Logout] - Login invalid Password - Step 01: Login page
[2024-01-22 23:06:17,615 INFO safe.railway.user.User_01_Login_Logout] - Login invalid Password - Step 02: enter emailaddress
[2024-01-22 23:06:17,749 INFO safe.railway.user.User_01_Login_Logout] - Login invalid Password - Step 03: Enter password
[2024-01-22 23:06:17,859 INFO safe.railway.user.User_01_Login_Logout] - Login invalid Password - Step 04: Click login button
[2024-01-22 23:06:18,502 INFO safe.railway.user.User_01_Login_Logout] - Login invalid Password - Step 05: Verify error message
[2024-01-22 23:06:18,573 INFO safe.railway.user.User_01_Login_Logout] - -------------------PASSED-------------------
[2024-01-22 23:06:18,581 INFO safe.railway.user.User_01_Login_Logout] - TC04 - Step 01: Login page
[2024-01-22 23:06:19,166 INFO safe.railway.user.User_01_Login_Logout] - TC04 - Step 02: Enter valid infor 1 time
[2024-01-22 23:06:20,176 INFO safe.railway.user.User_01_Login_Logout] - TC04- Step 03: Verify error
[2024-01-22 23:06:20,238 INFO safe.railway.user.User_01_Login_Logout] - -------------------PASSED-------------------
[2024-01-22 23:06:20,238 INFO safe.railway.user.User_01_Login_Logout] - TC04 - Step 04: Enter valid infor many times
